,Date,GHI
582,2021-02-02,5.495841667
583,2021-02-03,5.2928
584,2021-02-04,4.473416667
585,2021-02-05,4.504841667
586,2021-02-06,4.159225
587,2021-02-07,3.478141667
588,2021-02-08,3.205775
589,2021-02-09,5.045083333
590,2021-02-10,4.277683333
591,2021-02-11,2.390758333
592,2021-02-12,4.068308333
593,2021-02-13,5.202675
594,2021-02-14,4.364241667
595,2021-02-15,4.697391667
596,2021-02-16,5.241525
597,2021-02-17,5.940891667
598,2021-02-18,5.53465
599,2021-02-19,5.472708333
600,2021-02-20,6.008566667
601,2021-02-21,5.999541667
602,2021-02-22,5.196675
603,2021-02-23,5.446766667
604,2021-02-24,4.6578
605,2021-02-25,5.31395
606,2021-02-26,4.556158333
607,2021-02-27,3.493283333
608,2021-02-28,4.582141667
609,2021-03-01,5.4687
610,2021-03-02,4.935983333
611,2021-03-03,4.19625
612,2021-03-04,5.165466667
613,2021-03-05,6.486008333
614,2021-03-06,5.915858333
615,2021-03-07,5.639083333
616,2021-03-08,5.1473
617,2021-03-09,4.57085
618,2021-03-10,4.772283333
619,2021-03-11,5.075016667
620,2021-03-12,5.343283333
621,2021-03-13,5.711466667
622,2021-03-14,6.122858333
623,2021-03-15,5.025025
624,2021-03-16,4.547383333
625,2021-03-17,5.219116667
626,2021-03-18,4.648075
627,2021-03-19,4.957
628,2021-03-20,3.220425
629,2021-03-21,4.30625
630,2021-03-22,6.015591667
631,2021-03-23,6.209658333
632,2021-03-24,5.930958333
633,2021-03-25,5.744208333
634,2021-03-26,6.382258333
635,2021-03-27,5.880091667
636,2021-03-28,6.058016667
637,2021-03-29,5.221883333
638,2021-03-30,4.50345
639,2021-03-31,5.7723
640,2021-04-01,5.695466667
641,2021-04-02,5.393075
642,2021-04-03,5.281491667
643,2021-04-04,4.4688
644,2021-04-05,5.544483333
645,2021-04-20,5.541141667
646,2021-04-21,3.62395
647,2021-04-22,3.492116667
648,2021-04-23,2.394136241
649,2021-04-24,3.798924019
650,2021-04-25,2.735408262
651,2021-04-26,3.089371597
652,2021-04-27,3.055165786
653,2021-04-28,3.627878567
654,2021-04-29,4.539083967
655,2021-04-30,2.591562824
656,2021-05-01,5.292419368
657,2021-05-02,4.431024888
658,2021-05-03,5.883403687
659,2021-05-04,4.570410435
660,2021-05-05,2.253509217
661,2021-05-06,4.692892997
662,2021-05-07,3.644346039
663,2021-05-08,2.227714066
664,2021-05-09,5.552725485
665,2021-05-10,4.773650032
666,2021-05-11,4.13724155
667,2021-05-12,5.692629246
668,2021-05-13,4.949871427
669,2021-05-14,2.755736898
670,2021-05-15,4.155358975
671,2021-05-16,5.604047307
672,2021-05-17,5.142796085
673,2021-05-18,2.293150014
674,2021-05-19,3.053645955
675,2021-05-20,4.029908446
676,2021-05-21,3.486734001
677,2021-05-22,2.402452251
678,2021-05-23,5.544250301
679,2021-05-24,4.281675428
680,2021-05-25,3.316844593
681,2021-05-26,5.779133295
682,2021-05-27,2.546229425
683,2021-05-28,3.139226802
684,2021-05-29,3.038622696
685,2021-05-30,4.492467527
686,2021-05-31,5.732635684
687,2021-06-01,4.195066667
688,2021-06-02,4.877116667
689,2021-06-05,5.0684
690,2021-06-06,3.99225
691,2021-06-07,5.365591667
692,2021-06-08,2.611183333
693,2021-06-09,5.204808333
694,2021-06-10,3.592533333
695,2021-06-11,5.396108333
696,2021-06-12,4.161741667
697,2021-06-13,5.448483333
698,2021-06-14,5.926033333
699,2021-06-15,3.932033333
700,2021-06-16,4.729975
701,2021-06-17,6.520441667
702,2021-06-18,6.123708333
703,2021-06-19,5.056091667
704,2021-06-20,5.725175
705,2021-06-21,4.051708333
706,2021-06-22,4.164675
707,2021-06-23,4.859341667
708,2021-06-24,5.739525
709,2021-06-25,5.90975
710,2021-06-26,6.281358333
711,2021-06-27,5.852325
712,2021-06-28,5.981325
713,2021-06-29,5.256925
714,2021-06-30,3.089816667
715,2021-07-01,6.332116667
716,2021-07-02,6.18565
717,2021-07-03,5.4784
718,2021-07-04,3.296966667
719,2021-07-05,3.667841667
720,2021-07-06,2.852183333
721,2021-07-07,2.717125
722,2021-07-08,3.595508333
723,2021-07-09,4.808441667
724,2021-07-10,5.292016667
725,2021-07-11,5.98765
726,2021-07-12,4.842283333
727,2021-07-13,4.506258333
728,2021-07-14,3.985116667
729,2021-07-15,3.222533333
730,2021-07-16,5.855191667
731,2021-07-17,6.5543
732,2021-07-18,3.73
733,2021-07-19,4.535691667
734,2021-07-20,5.722691667
735,2021-07-21,3.865775
736,2021-07-22,4.174416667
737,2021-07-23,2.655541667
738,2021-07-24,5.254816667
739,2021-07-25,4.542575
740,2021-07-26,5.688958333
741,2021-07-27,5.361808333
742,2021-07-28,2.928783333
743,2021-07-29,4.2413
744,2021-07-30,5.188091667
745,2021-07-31,5.100383333
746,2021-08-01,5.665241667
747,2021-08-02,5.767216667
748,2021-08-03,4.787883333
749,2021-08-04,5.460966667
750,2021-08-05,4.524466667
751,2021-08-06,4.662016667
752,2021-08-07,5.138308333
753,2021-08-08,5.625883333
754,2021-08-09,5.828241667
755,2021-08-10,5.149116667
756,2021-08-11,4.361525
757,2021-08-12,5.940125
758,2021-08-13,4.5078
759,2021-08-14,4.780541667
760,2021-08-15,3.1595
761,2021-08-16,6.798441667
762,2021-08-17,5.053208333
763,2021-08-18,5.964591667
764,2021-08-19,6.168666667
765,2021-08-20,4.348666667
766,2021-08-21,6.70605
767,2021-08-22,6.500833333
768,2021-08-23,5.047366667
769,2021-08-24,5.3084
770,2021-08-25,3.497525
771,2021-08-26,5.08975
772,2021-08-27,6.084875
773,2021-08-28,2.886766667
774,2021-08-29,4.808008333
775,2021-08-30,4.709216667
776,2021-08-31,5.390408333
777,2021-09-01,4.287058333
778,2021-09-02,4.798375
779,2021-09-03,4.6332
780,2021-09-04,4.0792
781,2021-09-05,4.747466667
782,2021-09-06,4.892291667
783,2021-09-07,4.6983
784,2021-09-08,4.8834
785,2021-09-09,4.021166667
786,2021-09-10,4.851216667
787,2021-09-11,4.786425
788,2021-09-12,3.48995
789,2021-09-13,3.51
790,2021-09-14,4.23825
791,2021-09-15,4.308225
792,2021-09-16,4.453066667
793,2021-09-17,4.11275
794,2021-09-18,5.213008333
